,accX,accY,accZ,gyrX,gyrY,gyrZ
3823.0,732.0,11908.0,8260.0,-166.0,-72.0,114.0
3824.5250501002006,503.5991983967906,11865.803607214442,8321.298597194384,-165.69939879759295,-100.84769539077297,119.77555110220646
3826.0501002004007,700.4088176352634,11875.599198396794,8320.0,-142.7515030060108,-87.24649298597478,113.5010020040072
3827.5751503006013,800.1042084168366,11886.404809619242,8209.571142284549,-158.72545090180392,-40.77154308616991,102.86973947895422
3829.1002004008014,514.4048096192346,11899.599198396794,8303.567134268564,-150.5010020040072,-98.61523046090952,85.30060120240432
3830.625250501002,673.5551102204463,11903.503006012024,8176.008016032065,-158.12625250501014,-135.73747494989857,94.87775551102231
3832.1503006012026,835.7675350701174,11889.202404809621,8248.92184368732,-175.16232464930727,-50.62925851701948,73.6352705410718
3833.6753507014027,533.2905811623423,11909.507014028055,7982.076152304613,-239.0400801603182,1.246492985972509,81.97595190380343
3835.2004008016033,580.8016032064133,11907.198396793587,7962.364729458906,-319.19839679358665,15.396793587173306,94.39879759518999
3836.7254509018035,459.2224448898032,11901.098196392786,7929.72344689378,-360.9779559118151,-52.66332665329492,112.31262525049715
3838.250501002004,557.1783567134444,11857.034068136276,7946.052104208422,-399.2665330661339,-94.47294589178091,114.24849699398783
3839.775551102204,991.5190380761051,11920.408817635267,8123.270541082136,-441.0621242484922,17.35070140278549,91.06012024048687
3841.300601202405,1209.1302605210458,11868.440881763525,8212.392785571143,-448.80961923847644,196.78957915831188,-32.625250501000664
3842.8256513026054,962.8697394789269,11922.605210420843,8147.855711422835,-455.8717434869732,392.64729458919555,-86.76953907816096
3844.3507014028055,847.2224448897759,11968.92985971945,8068.569138276558,-493.3406813627189,498.2885771543024,-154.27454909819244
3845.875751503006,959.0781563126329,11935.527054108219,7924.400801603197,-540.633266533067,544.509018036073,-173.49699398797566
3847.400801603206,1128.1122244488706,11880.0,7996.0641282564975,-586.8016032064124,668.739478957882,-270.03607214427984
3848.925851703407,900.9138276553131,11894.813627254509,8210.653306613225,-604.6653306613225,851.6973947895785,-369.2164328657309
3850.4509018036074,328.1042084167748,11850.589178356711,8374.501002004028,-612.0180360721479,1031.6953907815423,-354.7675350701338
3851.9759519038075,257.306613226443,11871.32665330661,8354.020040080168,-587.865731462929,1025.581162324644,-291.0821643286613
3853.501002004008,618.6372745491608,11852.112224448909,8456.112224448909,-549.4629258516998,1264.7555110220692,-267.9919839679351
3855.0260521042082,1251.0460921842969,11752.521042084165,8882.244488978045,-481.6713426853794,1738.753507013971,-314.23046092182267
3856.551102204409,1487.6472945891728,11774.204408817635,8339.34268537074,-418.77354709418796,2108.985971943889,-492.86573146292767
3858.0761523046094,1164.8977955912706,11891.470941883745,8508.20040080155,-375.6953907815623,1969.5831663326535,-664.9759519038344
3859.6012024048096,1186.4448897795992,11727.879759519044,8227.11823647295,-393.04208416833444,2081.9318637274373,-820.2685370741447
3861.12625250501,-3871.4228456954515,13800.913827656972,10020.296593187679,-15.360721442552858,1619.9358717427317,-64.60921843609867
3862.6513026052103,-18533.13026052421,14983.767535072502,13132.072144289948,2941.034068136141,-11729.621242483194,8312.244488977318
3864.176352705411,8560.488977955738,12320.488977955905,6292.064128256574,987.6372745490808,-5092.757515029958,3866.549098196344
3865.701402805611,236.98597194546892,12719.45490981947,8503.631262524723,765.6412825650914,-3070.464929859725,3100.587174348635
3867.2264529058116,263.33466933881937,11784.873747494945,8148.641282565091,1055.4348697394585,-5503.450901803531,3858.218436873697
3868.751503006012,-4529.979959920231,13039.727454909891,9484.136272545202,1930.4408817636195,-8693.6212424853,6213.971943888043
