,accX,accY,accZ,gyrX,gyrY,gyrZ
2992.0,448.0,12116.0,7928.0,-240.0,118.0,42.0
2993.5450901803606,386.4609218436599,12085.098196392788,7883.639278557115,-298.52905811622713,-18.53707414829387,62.81963927855759
2995.0901803607217,605.0821643286599,12051.735470941854,8011.903807615259,-293.2464929859798,35.43486973948484,102.72144288577329
2996.6352705410823,623.6232464929872,12004.232464929872,8091.342685370735,-310.1182364729434,89.85771543086639,112.54108216432905
2998.180360721443,623.2785571142285,12064.721442885771,8008.264529058115,-311.85370741482893,125.34468937875727,152.294589178357
2999.7254509018035,605.4909819639306,12088.312625250497,8037.883767535075,-337.19639278557224,159.21442885771103,137.09819639278612
3001.2705410821645,967.6152304609568,12026.164328657316,8013.699398797573,-335.8456913827713,242.17434869740373,135.39078156311552
3002.815631262525,1043.7995991983917,12022.212424849698,7918.949899799598,-360.2625250501005,313.3346693386811,46.24649298596705
3004.3607214428857,896.3847695390832,12026.1002004008,8001.771543086172,-375.47494989979987,256.1102204408844,-0.7935871743447933
3005.9058116232463,696.056112224469,12116.464929859707,7997.507014028059,-356.5070140280586,157.65130260521983,-85.02204408817306
3007.4509018036074,679.7675350701338,12079.60721442886,8099.839679358725,-361.6873747494965,231.62525050100703,-77.49098196392606
3008.995991983968,540.4809619238404,12060.096192384768,8092.128256513024,-347.028056112224,181.2645290581122,-65.02805611222402
3010.5410821643286,360.0,12051.671342685371,8055.014028056114,-354.4248496993996,40.028056112227205,-44.9659318637282
3012.086172344689,192.9619238476771,12056.553106212432,8154.412825651298,-336.20641282564884,-40.13627254508174,38.034068136270434
3013.6312625250503,358.7014028056292,12012.424849699397,8106.77354709417,-350.8937875751508,-112.40681362726173,78.03807615231199
3015.176352705411,599.5350701402785,12048.697394789582,8055.062124248496,-343.23647294589136,-190.64128256513231,111.35070140280641
3016.7214428857715,539.7995991983989,12047.398797595197,8222.460921843667,-326.3426853707424,-189.8777555110264,111.12825651302774
3018.266533066132,590.6933867735861,11948.79358717434,8342.380761523018,-297.2044088176417,-111.39478957915071,131.73346693386793
3019.811623246493,460.23246492986254,12029.450901803615,8243.470941883732,-270.5651302605206,-178.14629258517698,143.98597194389004
3021.3567134268537,732.5611222444895,11953.122244488979,8048.937875751499,-260.48496993988056,-202.87775551102095,160.28657314629254
3022.9018036072143,895.8957915831506,12063.358717434861,7956.857715430859,-251.43687374749834,-115.18637274549701,136.45490981964167
