,accX,accY,accZ,gyrX,gyrY,gyrZ,q1,q2,q3,q4
0,-2988.0,12624.0,6928.0,-252.0,94.0,101.0,0.9079310877448101,-0.2357091072101604,0.2297100635988335,0.2594911238677244
1,-3001.4949494949515,12563.63636363637,6866.909090909087,-209.72727272727184,71.0404040404029,39.84848484848544,0.0953936706319682,-0.8206984170763526,0.5425797721578816,0.15153001899567622
2,-2734.060606060604,12617.494949494949,6892.484848484848,-277.77777777777794,291.82828282828154,23.47474747474746,-0.8345600410734226,-0.3814936711699808,0.2975885940948388,-0.26346374582745735
3,-3223.636363636365,12570.909090909096,6924.60606060606,-300.30303030303,425.3333333333314,78.03030303030482,-0.4189328420591996,0.5369975527478507,0.624014117209321,-0.3830604178331309
4,-3331.434343434345,12526.222222222224,7118.787878787878,-305.212121212122,-50.32323232323074,281.5050505050508,0.6075002293547431,0.3065484227342384,0.2722275756509679,-0.6803408578854293
5,-2772.8888888888846,12613.939393939396,6888.565656565655,-78.88888888888846,-435.0,330.3838383838381,0.9527513210290739,-0.28560985422895946,-0.07950714885269808,0.06611009549215491
6,-2995.8787878787984,12537.69696969697,6763.878787878786,-202.303030303029,-226.84848484849067,299.0,0.23162665648940153,-0.47623875373345487,-0.21949363033901084,0.8193706656248736
7,-3095.717171717172,12562.828282828285,6931.838383838383,-157.35353535353534,-183.59595959595936,345.70707070707067,-0.625097450749814,0.30659958941183196,-0.20364224915786985,0.6883165719322062
8,-2858.868686868691,12611.59595959596,6960.565656565643,-152.53535353535565,-480.1717171717155,319.0909090909085,-0.552395861193575,0.7969125675980013,-0.08915051568921614,-0.22768697304175337
9,-2638.1818181818203,12608.727272727272,6877.454545454548,-193.5454545454545,-299.2727272727286,171.81818181818198,0.4061455627346217,0.7323205470730808,-0.21015546858230105,-0.5045662268032955
10,-2922.303030303021,12627.434343434346,6761.535353535352,-294.2424242424245,-33.686868686866774,192.0202020202014,0.7680904028016063,0.1886147283849201,0.5406772402129291,0.2865828663337701
